laus_code,state_fips,county_fips,name,year,_,labor_force,employed,unemployment_level,unemployment_rate
CN0100100000000,1,1,"Autauga County, AL",2017,,25909,24908,1001,3.9
CN0100300000000,1,3,"Baldwin County, AL",2017,,91567,87915,3652,4
CN0100500000000,1,5,"Barbour County, AL",2017,,8236,7750,486,5.9
CN0100700000000,1,7,"Bibb County, AL",2017,,8506,8133,373,4.4
CN0100900000000,1,9,"Blount County, AL",2017,,24494,23509,985,4
CN0101100000000,1,11,"Bullock County, AL",2017,,4812,4575,237,4.9
CN0101300000000,1,13,"Butler County, AL",2017,,8946,8455,491,5.5
CN0101500000000,1,15,"Calhoun County, AL",2017,,45582,43333,2249,4.9
CN0101700000000,1,17,"Chambers County, AL",2017,,15176,14557,619,4.1
CN0101900000000,1,19,"Cherokee County, AL",2017,,11174,10721,453,4.1
CN0102100000000,1,21,"Chilton County, AL",2017,,19118,18344,774,4
CN0102300000000,1,23,"Choctaw County, AL",2017,,4336,4059,277,6.4
CN0102500000000,1,25,"Clarke County, AL",2017,,7720,7065,655,8.5
CN0102700000000,1,27,"Clay County, AL",2017,,5721,5471,250,4.4
CN0102900000000,1,29,"Cleburne County, AL",2017,,5742,5486,256,4.5
CN0103100000000,1,31,"Coffee County, AL",2017,,20671,19764,907,4.4
CN0103300000000,1,33,"Colbert County, AL",2017,,23092,21889,1203,5.2
CN0103500000000,1,35,"Conecuh County, AL",2017,,4446,4173,273,6.1
CN0103700000000,1,37,"Coosa County, AL",2017,,4348,4147,201,4.6
CN0103900000000,1,39,"Covington County, AL",2017,,15646,14826,820,5.2
CN0104100000000,1,41,"Crenshaw County, AL",2017,,6417,6130,287,4.5
CN0104300000000,1,43,"Cullman County, AL",2017,,37637,36239,1398,3.7
CN0104500000000,1,45,"Dale County, AL",2017,,19868,18987,881,4.4
CN0104700000000,1,47,"Dallas County, AL",2017,,14935,13811,1124,7.5
CN0104900000000,1,49,"DeKalb County, AL",2017,,29038,27734,1304,4.5
CN0105100000000,1,51,"Elmore County, AL",2017,,37236,35880,1356,3.6
CN0105300000000,1,53,"Escambia County, AL",2017,,14352,13630,722,5
CN0105500000000,1,55,"Etowah County, AL",2017,,42894,40932,1962,4.6
CN0105700000000,1,57,"Fayette County, AL",2017,,6529,6220,309,4.7
CN0105900000000,1,59,"Franklin County, AL",2017,,13960,13369,591,4.2
CN0106100000000,1,61,"Geneva County, AL",2017,,10817,10355,462,4.3
CN0106300000000,1,63,"Greene County, AL",2017,,2833,2616,217,7.7
CN0106500000000,1,65,"Hale County, AL",2017,,6007,5653,354,5.9
CN0106700000000,1,67,"Henry County, AL",2017,,6697,6371,326,4.9
CN0106900000000,1,69,"Houston County, AL",2017,,44411,42484,1927,4.3
CN0107100000000,1,71,"Jackson County, AL",2017,,23066,21966,1100,4.8
CN0107300000000,1,73,"Jefferson County, AL",2017,,309076,295970,13106,4.2
CN0107500000000,1,75,"Lamar County, AL",2017,,5703,5462,241,4.2
CN0107700000000,1,77,"Lauderdale County, AL",2017,,41868,39937,1931,4.6
CN0107900000000,1,79,"Lawrence County, AL",2017,,13640,12974,666,4.9
